open;high;low;close;volume;marketCap;timestamp
1.0002757536;1.0007633136;0.9998222526;1.0002599062;21251601414.98;83056304742.81;"2023-09-14T00:00:00.000Z"
1.0002533128;1.0007569645;0.9998421538;1.0003426771;19295499486.06;83068071508.98;"2023-09-15T00:00:00.000Z"
1.0001113171;1.0009131516;0.9999874353;1.000297634;14317870596.81;83066639635.67;"2023-09-16T00:00:00.000Z"
1.0002782223;1.0009376649;1.000112004;1.0002921131;12731066338;83066181171.95;"2023-09-17T00:00:00.000Z"
1.0002538767;1.0008863018;0.9999116972;1.0002382978;23169510105.72;83061712246.93;"2023-09-18T00:00:00.000Z"
1.0001404015;1.0008943543;0.9999892966;1.0002626998;19869924196.5;83113458689.59;"2023-09-19T00:00:00.000Z"
1.0002069278;1.000653379;0.999903802;1.0002069049;20831080166.19;83179583605.44;"2023-09-20T00:00:00.000Z"
1.0001855113;1.0006377464;0.9996994853;0.9999863116;65289803092.88;83189877816.7;"2023-09-21T00:00:00.000Z"
0.9999187146;1.0005525128;0.9996633681;1.0000094417;16422421266.15;83191802035.04;"2023-09-22T00:00:00.000Z"
1.0000157491;1.0004527127;0.9998746488;1.0000674152;12105054638.12;83206968038.25;"2023-09-23T00:00:00.000Z"
1.0000648988;1.000675865;0.9998864376;1.0001353143;13177215723.33;83215000421.55;"2023-09-24T00:00:00.000Z"
1.0001322446;1.000600661;0.9994950276;0.9997848353;18410794811.29;83185839260.4;"2023-09-25T00:00:00.000Z"
0.9997185121;1.0005622805;0.9994716367;0.9996062263;17449026978.05;83175118303.95;"2023-09-26T00:00:00.000Z"
0.9995548806;0.9999956757;0.9990897244;0.9993860443;21012429239.93;83215726279.02;"2023-09-27T00:00:00.000Z"
0.9994555646;1.0008207899;0.9989877145;1.0000169328;23496469873.64;83272626075.03;"2023-09-28T00:00:00.000Z"
1.0000621541;1.0008445051;0.9996914629;1.0000421149;33744855886.78;83280080892.38;"2023-09-29T00:00:00.000Z"
1.0000674263;1.0005960731;0.999802586;1.0002098567;28335840809.63;83261517290.27;"2023-09-30T00:00:00.000Z"
1.0001927821;1.0006162928;0.9997698719;0.9998941844;26887832163.72;83246238290.16;"2023-10-01T00:00:00.000Z"
1.0000273171;1.0010062193;0.9998018965;1.0003325146;33775951107.32;83284732156.02;"2023-10-02T00:00:00.000Z"
1.0002625268;1.000508736;0.9997417863;1.0000916521;28992376861.58;83348500370.75;"2023-10-03T00:00:00.000Z"
1.0000216619;1.0005614653;0.9997714768;1.0004365575;21138935229.91;83401486689.38;"2023-10-04T00:00:00.000Z"
1.0002867815;1.0006459075;0.9999061265;1.0000887307;18816329984.98;83374294633.02;"2023-10-05T00:00:00.000Z"
1.0000372052;1.0006380885;0.9998850541;1.0004357429;19152176768.04;83403223967.5;"2023-10-06T00:00:00.000Z"
1.0004390199;1.0007758711;1.0002717033;1.0005496479;11006329207.89;83496810774.7;"2023-10-07T00:00:00.000Z"
1.0005884422;1.0008001768;1.0002707395;1.0004601549;12488411033.71;83512853315.21;"2023-10-08T00:00:00.000Z"
1.0004555874;1.0011816694;0.9998780138;1.0000809123;20684218429.06;83481196250.28;"2023-10-09T00:00:00.000Z"
1.0001963015;1.0008236167;0.9998590707;1.0000883058;17384784047.06;83502317447.45;"2023-10-10T00:00:00.000Z"
1.0000649208;1.0006611278;0.9995690468;0.999752053;19945698427.3;83498301346.23;"2023-10-11T00:00:00.000Z"
0.9997487424;1.0005672785;0.999477564;0.999707791;16234691730.84;83497626921.98;"2023-10-12T00:00:00.000Z"